,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
74,74.0,0.127081036567688,0.842,0.7704753816127777,0.5881333333333333,2.0,41.0,0.007968675364060382
75,75.0,0.2498643845319748,0.841,0.9036776532729467,0.48366666666666663,2.0,13.0,0.010118620193730415
76,76.0,0.3297363817691803,0.821,0.8706838349501292,0.4752,5.0,50.0,0.005224712077264408
77,77.0,0.27932605147361755,0.83,0.7318714320659637,0.5956666666666667,2.0,28.0,0.0058177964055933
78,78.0,0.12097881734371185,0.83,0.713869481285413,0.6090666666666668,3.0,42.0,0.00993384823250577
79,79.0,0.08266273140907288,0.834,0.7434548079967499,0.6081333333333333,2.0,50.0,0.008409819573610488
80,80.0,0.23565858602523804,0.834,0.8283306817213695,0.5551999999999999,2.0,18.0,0.010849830404148407
81,81.0,0.26340925693511963,0.823,0.8448827226956686,0.5555333333333333,3.0,48.0,0.0040425202952078625
82,82.0,0.11545024067163467,0.839,0.8639642899235089,0.5419333333333333,2.0,50.0,0.005378125190913222
83,83.0,0.4390653073787689,0.827,0.8183431108792623,0.5291333333333333,2.0,14.0,0.0033249209011486855
84,84.0,0.3007485568523407,0.826,0.8171985586484273,0.5408000000000001,4.0,29.0,0.014807272941318454
85,85.0,0.1642615646123886,0.837,0.7874641527732213,0.5872666666666667,3.0,35.0,0.013095657680043907
86,86.0,0.2869279682636261,0.837,0.799072514474392,0.5649333333333332,3.0,39.0,0.0046887066577007
87,87.0,0.14364545047283173,0.827,0.8185145070155462,0.5319333333333334,3.0,34.0,0.013358728438805098
88,88.0,0.3108879625797272,0.823,0.8631175140539805,0.5154,3.0,35.0,0.005868686136978371
89,89.0,0.5022726058959961,0.82,0.691858728726705,0.6557333333333335,2.0,17.0,0.004181548598327596
90,90.0,0.15516044199466705,0.833,0.6864754428466161,0.6078666666666666,3.0,35.0,0.014847277322504546
91,91.0,0.4572177231311798,0.827,0.7305511459708214,0.6192,2.0,7.0,0.008359511735711622
92,92.0,0.3534717261791229,0.817,0.8472642858823141,0.5637333333333334,4.0,34.0,0.005831778838492806
93,93.0,0.2867043614387512,0.835,0.8455312510331472,0.5424,2.0,27.0,0.00425601694979264
94,94.0,0.3317120373249054,0.829,0.8138907770315806,0.5301333333333333,4.0,37.0,0.006286617343963905
95,95.0,0.15782679617404938,0.846,0.7148647079865138,0.6025999999999999,2.0,28.0,0.010271711471219393
96,96.0,0.3404243588447571,0.83,0.7182909900943438,0.6235999999999999,4.0,46.0,0.0039639250268594765
97,97.0,0.2957134544849396,0.803,0.807878601551056,0.5788666666666666,4.0,38.0,0.011217806685981433
98,98.0,0.3659640848636627,0.812,0.8919921517372131,0.5124000000000001,5.0,29.0,0.004507904993290578
99,99.0,0.502356231212616,0.796,0.9471697568893432,0.5044,9.0,50.0,0.0036238155350841374
